tweet,Processed Text
"Namanya juga artis muda, biasanya manajemen nyuruh nutupin status biar pamornya dikalangan fans cewek gak pudar. Biasa aja di entertainment, Lisa BP juga udah merit, blm ada yg tau kan lakinya? gw.. *uhuk*","['nama', 'artis', 'muda', 'biasa', 'manajemen', 'nyuruh', 'menutupi', 'status', 'biar', 'pamor', 'kalang', 'fan', 'cewek', 'enggak', 'pudar', 'biasa', 'saja', 'entertainment', 'lisa', 'bp', 'sudah', 'rit', 'belum', 'yang', 'tahu', 'kan', 'laki', 'saya', 'uhuk']"
"""Istrinya juga jangan-jangan kaget, kalo dia ternyata adalah istrinya Ardhito.","['istri', 'janganjangan', 'kaget', 'kalau', 'nyata', 'istri', 'ardhito']"
"Mind blowing. ""","['mind', 'blowing']"
Single barunya,"['single', 'baru']"
"Apa cuma gw yang ga ngikutin ardhito dr awal sampai dia booming jg gw ga ngikutin dia, gw jg tau dia dr sw temen2 gw yg bucin dhito.bahkan lagu2nya gw gatau :(. semoga kapok aja ya mass.","['apa', 'cuma', 'saya', 'enggak', 'mengikuti', 'ardhito', 'dari', 'awal', 'booming', 'juga', 'saya', 'enggak', 'mengikuti', 'saya', 'juga', 'tahu', 'dari', 'sw', 'teman', 'saya', 'yang', 'bucin', 'dhitobahkan', 'lagu', 'saya', 'enggak tau', 'moga', 'kapok', 'saja', 'mass']"
fak ini lucu bgt,"['fak', 'lucu', 'banget']"
Ardhito udh di incar bnn sejak 1 tahun lalu pas ditanya di youtubenya gofar hilman dia pengguna adiktif hahaha pas ditanya berenti mukanya boong sih keliatan padhl masih konsumsi salah satunya ganjaa keliatan mukanya peyot klo ketawa,"['ardhito', 'sudah', 'incar', 'bnn', 'sejak', 'tahun', 'lalu', 'pas', 'tanya', 'youtubenya', 'gofar', 'hilman', 'guna', 'adiktif', 'hahaha', 'pas', 'tanya', 'renti', 'muka', 'bohong', 'sih', 'lihat', 'padahal', 'konsumsi', 'salah', 'satu', 'ganjaa', 'lihat', 'muka', 'peyot', 'kalau', 'ketawa']"
Bukanya pas di video ini jg udah klarifikasi bareng istrinya ya?,"['buka', 'pas', 'video', 'juga', 'sudah', 'klarifikasi', 'bareng', 'istri']"
Ha dia sp:(,"['tertawa', 'siapa']"
BAAAAHHHHHH,['baaaahhhhhh']
HAHH DEMIAPA,"['hahh', 'apa']"
Kirain masi jomblo ternyata dah punya istri,"['mengira', 'mas', 'tidak punya pacar', 'nyata', 'deh', 'punya', 'istri']"
HAH HAH HAH HAH KEK NIUP KEONG,"['hah', 'hah', 'hah', 'hah', 'seperti', 'niup', 'keong']"
Kok mirip,"['kok', 'mirip']"
ini serius ga si,"['serius', 'enggak', 'sih']"
AJGGG??? KBTBTB ALIAS KAGET BERTUBITUBI,"['ajggg', 'kbtbtb', 'alias', 'kaget', 'bertubitubi']"
"Eh, jadi ini beneran?","['eh', 'jadi', 'benaran']"
Ya klo diumbar2 istrinya g laku lah dia. Org terkenal modal tampang sama berani ngomong kotor doang kok di socmed wkwkwkwk,"['kalau', 'umbar', 'istri', 'enggak', 'laku', 'lah', 'orang', 'kenal', 'modal', 'tampang', 'sama', 'berani', 'bicara', 'kotor', 'doang', 'kok', 'socmed', 'wkwkwkwk']"
"""Serius ini yg nanya Ardhito siapa Ardhito siapa TINGGAL GOOGLE AJA MEMEK susah bgt buka twitter bisa masa google gabisa """"ya gak terkenal dong gua aja gatau"""" first of all lu gak sepenting itu jadi gaada benefitny jga kalau lu gak tau gausah sok merasa superior karna gtau, GOOGLE.""","['serius', 'yang', 'bertanya', 'ardhito', 'siapa', 'ardhito', 'siapa', 'tinggal', 'google', 'saja', 'memek', 'susah', 'banget', 'buka', 'twitter', 'masa', 'google', 'enggak bisa', 'enggak', 'kenal', 'dong', 'saya', 'saja', 'enggak tau', 'first', 'of', 'all', 'kamu', 'enggak', 'penting', 'jadi', 'tidak ada uang', 'benefitny', 'juga', 'kalau', 'kamu', 'enggak', 'tahu', 'enggak usah', 'sok', 'rasa', 'superior', 'karena', 'tidak tahu', 'google']"
"ga ngikutin jd ga kaget sih, mo dia narkoboy atau punya istri kek ga peduli. knp kek banyak bgt yg patah hati?","['enggak', 'mengikuti', 'jadi', 'enggak', 'kaget', 'sih', 'mau', 'narkoboy', 'punya', 'istri', 'seperti', 'enggak', 'peduli', 'kenapa', 'seperti', 'banyak', 'banget', 'yang', 'patah', 'hati']"
His wife:,"['his', 'wife']"
"Kita harus dukung siapapun orangnya, tanpa lihat tampangnya. Gue disini support ardhito karena dia slh satu idola gue yg karyanya gue agungkan. Smangat!!!","['harus', 'dukung', 'siapa', 'orang', 'lihat', 'tampang', 'saya', 'sini', 'support', 'ardhito', 'salah', 'satu', 'idola', 'saya', 'yang', 'karya', 'saya', 'agung', 'semangat']"
Kbl kbl,"['kbl', 'kbl']"
Pas rabine awakmu diundang ga tif?,"['pas', 'rabine', 'saya', 'undang', 'enggak', 'tif']"
*pignsan dengan lagu bittersweet,"['pignsan', 'lagu', 'bittersweet']"
"Biasa aja kali ardhito punya istri, kalo ardhito punya suami baru lo kaget","['biasa', 'saja', 'kali', 'ardhito', 'punya', 'istri', 'kalau', 'ardhito', 'punya', 'suami', 'baru', 'kamu', 'kaget']"
Malahhh aku gatauu dia tehhh siapaaa,"['malahhh', 'gatauu', 'teh', 'siapaaa']"
Buset srepet tret tetew,"['buset', 'srepet', 'tret', 'tetew']"
KAGETTT,['kagettt']
kahet banget woi lah,"['kahet', 'banget', 'woi', 'lah']"
anjay lah,"['anjay', 'lah']"
arditho siapa si anjir? beritanya itu mulu,"['arditho', 'siapa', 'sih', 'anjing', 'berita', 'melulu']"
Gak kaget dua-duanya kok kak,"['enggak', 'kaget', 'duaduanya', 'kok', 'kak']"
Mana cantik banget,"['mana', 'cantik', 'banget']"
"""Itu isrtinya yg sebelah kanan ?, atau gimana si","['isrtinya', 'yang', 'belah', 'kanan', 'bagaimana', 'sih']"
"Ga tau soalnya""","['enggak', 'tahu', 'soal']"
Wanjir wwkwkkwkw,"['wanjir', 'wwkwkkwkw']"
"Ha? gimana, gimana?","['tertawa', 'bagaimana', 'bagaimana']"
lah jeanne kan emang ceweknya ardhito,"['lah', 'jeanne', 'kan', 'memang', 'cewek', 'ardhito']"
betina YGY,"['betina', 'ygy']"
jadi selama ini aku hanya simpanannya,"['jadi', 'lama', 'simpan']"
@_indahrembulan,[]
Ya Allah gue gatau ardhito sahaaaa,"['allah', 'saya', 'enggak tau', 'ardhito', 'sahaaaa']"
Mas ardhi emg kulbet orangnya makanya di diem diem aja punya istri,"['mas', 'ardhi', 'memang', 'kulbet', 'orang', 'makanya', 'diam', 'diam', 'saja', 'punya', 'istri']"
coba jelaskan wkwk,"['coba', 'jelas', 'wkwk']"
EDANNN INI MAH NGAGETINNYA GAK TANGGUNG TANGGUNG WOWKWKWKWKWK,"['edan', 'mah', 'ngagetinnya', 'enggak', 'tanggung', 'tanggung', 'wowkwkwkwkwk']"
"Gadaikan saja sebagai jaminan,macam si tofa dan Bahar....","['gadai', 'bagai', 'jaminanmacam', 'sih', 'tofa', 'bahar']"
Kapan nikah nyaaa,"['kapan', 'nikah', 'nya']"
Sebenernya dia anggota Illuminati,"['sebenarnya', 'anggota', 'illuminati']"
Ga kaget cuma hah heh hoh aja,"['enggak', 'kaget', 'cuma', 'hah', 'heh', 'hoh', 'saja']"
ini kalo ditambah berita ternyata udah punya anak juga sih kacau,"['kalau', 'tambah', 'berita', 'nyata', 'sudah', 'punya', 'anak', 'sih', 'kacau']"
ok,[]
bukannya ini rumor udah lama ya?,"['bukan', 'rumor', 'sudah', 'lama']"
rumor udh nikah mah dah lamaa dr awal dia naik daun,"['rumor', 'sudah', 'nikah', 'mah', 'deh', 'lamaa', 'dari', 'awal', 'naik', 'daun']"
Yaallah kaget bangettt!!!,"['yaallah', 'kaget', 'banget']"
gue lebih kaget klo mesut ozil beneran mau pindah ke rans cilegon ..,"['saya', 'lebih', 'kaget', 'kalau', 'mesut', 'ozil', 'benaran', 'mau', 'pindah', 'rans', 'cilegon']"
Istrinya mirip linka ..,"['istri', 'mirip', 'linka']"
ini mirip kamu versi cowo si ardhito. kgt njir dgr beritanya,"['mirip', 'versi', 'cowok', 'sih', 'ardhito', 'kgt', 'anjir', 'dengar', 'berita']"
Kaget ardhito narkoba,"['kaget', 'ardhito', 'narkotika, psikotropika, dan obat terlarang']"
broh,['broh']
idolamu,['idola']
Nop,['nop']
Kbl kbl kaget banget lochhh,"['kbl', 'kbl', 'kaget', 'banget', 'lochhh']"
